NAAM,ALCOHOL %,BROUWERIJ
Bellegems Witbier,5.000000,Brouwerij Bockor
Belval,4.800000,Gageleer
Ben’s Golden triple,9.000000,Brouwerij Anders
Ben’s IPA,7.500000,Brouwerij Anders
Ben’s Strong Blond,8.000000,Brouwerijn Anders
Ben’s Strong Dark,8.000000,Brouwerij Anders
Berentemmer,7.000000,Brouwerij Maenhout
Bersalis Tripel,9.500000,Brouwerij Huyghe voorBrouwerij Oud Beersel
Bersalis Kadet,4.500000,Brouwerij Huyghe voorBrouwerij Oud Beersel
Betchard Brune,7.000000,Brouwerij de Tubize
Betchard Blonde,5.500000,Brouwerij de Tubize
Bueckenholt Belge,6.500000,Brouwerij Bier Anders
Bueckenholt Saison 548,6.100000,Brouwerij Bier Anders
Bieken,8.000000,Brouwerij Boelens
Bierbeekse,7.300000,Brouwerij Van Steenbergevoor de gemeente Bierbeek en Terclavers
Bierbuik,8.000000,De VerhuisBrouwerij
Bière Darbyste,5.800000,Brouwerij de Blaugies
Bière de Beloeil,8.500000,Brouwerij Dupont
Bière de Garde,10.000000,Brouwerij Jessenhofke bij DeProefBrouwerij
Bière de Miel Bio,8.000000,Brouwerij Dupont
Bière des Ours(Berenbier),8.500000,Brouwerij La Binchoise
Bière duCorsaire Cuvée Spéciale,9.400000,Brouwerij Huyghe
Bière du MontSaint-Aubert,8.000000,Brouwerij de Brunehaut
Bière SpécialeBelge,5.000000,Brouwerij La Binchoise
Big Bavik,5.000000,Brouwerij Bavik
BierpruverDubbel Bruin,7.500000,HuisBrouwerij de 3 vaten
Bierpruver Tripel,9.000000,HuisBrouwerij de 3 vaten
Bierpruver Winter,8.000000,HuisBrouwerij de 3 vaten
Bink Blond,5.500000,Brouwerij Kerkom
Bink Bruin,5.500000,Brouwerij Kerkom
Bink Bloesem,7.100000,Brouwerij Kerkom
Biolégère,3.500000,Brouwerii Dupont
Bitter SweetSymphony,7.800000,Brouwerij ‘t Gaverhopke
Bittere Waarheid,11.000000,Brouwerij Het Alternatiefbij Brouwerij De Graal
Bjeizelereke Blond,7.000000,Scheldebrouwerij
Bjeizelereke Bruin,8.500000,Scheldebrouwerij
Black,6.300000,Brouwerij de Bellevaux
Black Albert,13.000000,De Struise Brouwers bij Brouwerij Deca
Black Damnation I,13.000000,De Struise Brouwers bij Brouwerij Deca
Black DamnationII (Mocha Bomb),12.000000,De Struise Brouwers bij Brouwerij Deca
Black DamnationIII (Black Mes),13.000000,De Struise Brouwers bij Brouwerij Deca
Black DamnationIV (Coffée Club),13.000000,De Struise Brouwers bij Brouwerij Deca
Black DamnationV (Double Black),26.000000,De Struise Brouwers bij Brouwerij Deca
Black Ghost,8.000000,Brouwerij Fantôme
Black Hole,5.600000,Brouwerij Roman
Black Jack,7.000000,De Struise Brouwers bij Brouwerij Deca
Blanche,4.800000,Brouwerij de Bellevaux
Blanche d’Ardenne,4.300000,Brouwerij du Bocq voorCorsendonk nv
Blanche deBouillon,5.500000,Brouwerij de Bouillon
Blanche deBrabant,5.000000,Groep John Martin
Blanche deBruxelles,4.500000,Brouwerij Lefebvre
Blanche deCharleroi,5.000000,Brouwerij Val de Sambre
Blanche de Namur,5.200000,Brouwerij du Bocq
Blanche de Tubize,4.800000,Brouwerij de Tubize
Blanche desHonnelles,6.000000,Brouwerij de l’Abbaye desRocs
Blanche desNeiges,5.000000,Brouwerij Huyghe
Blanche duHainaut Bio,5.500000,Brouwerij Dupont
